"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets Received","Likes Received","Tweet Location","Tweet Language","User Id",Name,Username,"User Bio","Verified or Non-Verified","Profile URL","User Followers","User Following","User Account Creation Date"
"""1434870813878931457""",https://twitter.com/sunnieimorrison/status/1434870813878931457,"06-Sep-2021 13:27:15","""So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @Spoiledinpdx2 #poshmark #fashion #style #shopmycloset #loreal #rozali #markgraham: https://t.co/HD4WDzrd3U https://t.co/BnbavR5DeN""",Tweet,"""Poshmark""",0,0,Miami,English,"""22147231""","Sunnie Morrison",sunnieimorrison,"""Director of First Class Productions,""",Non-Verified,https://twitter.com/sunnieimorrison,736,471,"27-Feb-2009 14:57:53"
"""1434870512346226690""",https://twitter.com/ZehnDreii/status/1434870512346226690,"06-Sep-2021 13:26:03","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for Android""",50,0,,English,"""146369607""","` หาทางออกจากเมืองจีนไม่ได้",ZehnDreii,"""𝚂𝚄𝙿𝙴𝚁 𝙹𝚄𝙽𝙸𝙾𝚁 💙 𝙹𝙱𝙹 💜💛 𝚆𝙰𝚈 𝚅 💚 𝙺𝙸𝙼 𝚆𝙾𝙾𝙱𝙸𝙽 ❤ 𝚂𝙾𝙽𝙶 𝙹𝙸𝚈𝙰𝙽𝙶 🥐 𝙻𝙸𝚄𝚈𝚄 🐋""",Non-Verified,https://twitter.com/ZehnDreii,368,652,"21-May-2010 07:48:19"
"""1434870445568835593""",https://twitter.com/lavieenwhale/status/1434870445568835593,"06-Sep-2021 13:25:47","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for Android""",50,0,Halutopia,English,"""2562263449""",🐳,lavieenwhale,"""Random thingy, danmeist, stan SJ, EXO, 刘宇 - INTO1 | Author""",Non-Verified,https://twitter.com/lavieenwhale,661,607,"11-Jun-2014 23:07:37"
"""1434870039488851973""",https://twitter.com/xilyan0210/status/1434870039488851973,"06-Sep-2021 13:24:10","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for Android""",50,0,,English,"""1422171811148550144""",☃️(*´ω｀*),xilyan0210,"""你眼中的星河，胜过我见过的一切浩渺烟波, 知道大家很多委屈我很心疼""",Non-Verified,https://twitter.com/xilyan0210,6,41,"02-Aug-2021 12:26:10"
"""1434869922450984965""",https://twitter.com/yyuyuwans_/status/1434869922450984965,"06-Sep-2021 13:23:42","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for Android""",50,0,,English,"""1406955765768736771""",ai,yyuyuwans_,"""— #刘宇 ♡""",Non-Verified,https://twitter.com/yyuyuwans_,133,178,"21-Jun-2021 12:42:59"
"""1434869921423368193""",https://twitter.com/KrungKring_z/status/1434869921423368193,"06-Sep-2021 13:23:42","""RT @Liuyu_Fanclub: 210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1…""",ReTweet,"""Twitter for iPhone""",50,0,,English,"""354759865""",MaRon🐟🦈,KrungKring_z,"""“送给美好” 🐟 Liuyu only l 刘宇 l the center of INTO1 🦈 | Main keeping | I am YUWAN l “OP Liuyu” 💙 “แสตนเดี่ยวหลิวอวี่”""",Non-Verified,https://twitter.com/KrungKring_z,89,147,"14-Aug-2011 07:34:25"
"""1434869837663199240""",https://twitter.com/Liuyu_Fanclub/status/1434869837663199240,"06-Sep-2021 13:23:22","""210906 L’Oréal × LIU YU

You light up my day and night.📸

#Liuyu #INTO1Liuyu #刘宇 #劉宇 #リュウユ #리우위 #หลิวอวี่ #LưuVũ #INTO1 #Wajijiwa #哇唧唧哇 #LOréal #欧莱雅 https://t.co/8uc4T9JCAF""",Tweet,"""Twitter for iPhone""",50,79,,English,"""1373163619806945280""",刘宇官方粉丝后援会,Liuyu_Fanclub,"""LIUYU OFFICIAL FANCLUB""",Non-Verified,https://twitter.com/Liuyu_Fanclub,1673,0,"20-Mar-2021 06:45:08"
"""1434868433812922370""",https://twitter.com/financialshaper/status/1434868433812922370,"06-Sep-2021 13:17:47","""RT @SavyFox_: Get to know L’Oréal the European Dividend Aristocrat at https://t.co/B42jb8t46p #loreal #europeandividendaristocrat #dividend…""",ReTweet,"""Twitter for iPhone""",1,0,,English,"""788787131468619776""","My Financial Shape",financialshaper,"""pursuing dreams, building wealth, having fun""",Non-Verified,https://twitter.com/financialshaper,3557,3942,"19-Oct-2016 17:01:22"
"""1434863656827711498""",https://twitter.com/shekhar_damle/status/1434863656827711498,"06-Sep-2021 12:58:48","""RT @NaviArthkranti: फ्रॅंकोईस बेटेनकोर्ट मेयर्स या फ्रेंच अब्जाधीश आणि जगातील सर्वात श्रीमंत महिला आहेत. त्या #लॉरियल कंपनीच्या अध्यक्षा आ…""",ReTweet,"""Twitter for Android""",1,0,"Kalyan Dombivali, India",Marathi,"""4093356313""","शेखर सुधाकर दामले.🇮🇳",shekhar_damle,"""भारतीय, 
कोणत्याही राजकीय पक्षाशी कसलाही संबंध नाही
एक सर्वसामान्य माणूस""",Non-Verified,https://twitter.com/shekhar_damle,504,626,"01-Nov-2015 18:10:08"
"""1434854895711133702""",https://twitter.com/SavyFox_/status/1434854895711133702,"06-Sep-2021 12:24:00","""Get to know L’Oréal the European Dividend Aristocrat at https://t.co/B42jb8t46p #loreal #europeandividendaristocrat #dividendaristocrat #dividendinvesting #investmentblog""",Tweet,"""SEMrush Social Media Tool""",1,3,,English,"""1369823275975467012""",SavyFox,SavyFox_,"""Investment blog that writes about various  investment topics and shares research and opinions related to Stocks, P2P Lending, Crypto Currency Investments, etc.""",Non-Verified,https://twitter.com/SavyFox_,99,119,"11-Mar-2021 01:31:41"
"""1434850748739637249""",https://twitter.com/poccalilangel/status/1434850748739637249,"06-Sep-2021 12:07:31","""Di pako nakakatry ng l'oreal. Kaya salamat sayo sis at binigyan moko neto para itry at bday gift. Wag muna ngayon nagbabalat pa ang face ko haha 😂

@lorealparis @lenoruga
#loreal #lorealparis #lorealph #skincare https://t.co/BbP48zTfUg""",Tweet,"""Instagram""",0,0,"Quezon City",Tagalog,"""500938066""","Pocca Lil-angel",poccalilangel,"""Positive minds produce positive lives""",Non-Verified,https://twitter.com/poccalilangel,387,99,"23-Feb-2012 16:36:19"
"""1434850212820946944""",https://twitter.com/poccalilangel/status/1434850212820946944,"06-Sep-2021 12:05:23","""Di pako nakakatry ng l'oreal. Kaya salamat sayo sis at binigyan moko neto para itry at bday gift. Wag muna ngayon nagbabalat pa ang face ko haha 😂

@lorealparis @lenoruga
#loreal #lorealparis #lorealph #skincare https://t.co/FWTs5vCIoe""",Tweet,"""Instagram""",0,0,"Quezon City",Tagalog,"""500938066""","Pocca Lil-angel",poccalilangel,"""Positive minds produce positive lives""",Non-Verified,https://twitter.com/poccalilangel,387,99,"23-Feb-2012 16:36:19"
